83,3351,1,2500,24,6,12.5,0,2800,2493.75,118.75,1,1/1/2015 0:00,1/1/2015 0:00
86,3422,1,5000,60,6,25,47.58,6500,6440.83,59.17,1,1/1/2015 0:00,1/1/2015 0:00
90,3468,1,1000,24,6,5,0,1000,1120,46.67,1,1/1/2015 0:00,1/1/2015 0:00
91,3501,1,1000,15,6,5,0,1075,975,75,1,1/1/2015 0:00,1/1/2015 0:00
94,3576,1,2500,48,6,12.5,0,3100,2231.71,64.58,1,1/1/2015 0:00,1/1/2015 0:00
100,1990,1,10000,60,6,50,673.79,13000,12095.85,180.83,1,1/1/2015 0:00,1/1/2015 0:00
101,2041,1,10000,48,6,50,569.53,12400,11544.78,209.37,1,1/1/2015 0:00,1/1/2015 0:00
103,2230,1,10000,48,6,50,633.76,12400,11671.86,259.38,1,1/1/2015 0:00,1/1/2015 0:00
105,2354,1,7000,48,6,35,0,8680,6690.87,180.83,1,1/1/2015 0:00,1/1/2015 0:00
106,2411,1,7000,48,6,35,0,8680,4701.85,180.83,1,1/1/2015 0:00,1/1/2015 0:00
107,1230,1,7800,48,6,39,0,9672,290,191.5,1,1/1/2015 0:00,1/1/2015 0:00
108,2712,1,7000,48,6,35,0,8680,4520.91,180.83,1,1/1/2015 0:00,1/1/2015 0:00
109,2719,1,5000,48,6,25,0,6200,5037.47,129.17,1,1/1/2015 0:00,1/1/2015 0:00
110,2833,1,7000,48,6,35,0,8680,6871.7,180.83,1,1/1/2015 0:00,1/1/2015 0:00
111,2837,1,10000,60,6,50,97.24,13000,12180,217.5,1,1/1/2015 0:00,1/1/2015 0:00
112,2844,1,4200,48,6,21,0,5208,4014.1,108.5,1,1/1/2015 0:00,1/1/2015 0:00
113,2869,1,4000,48,6,20,0,4960,3040.06,103.33,1,1/1/2015 0:00,1/1/2015 0:00
116,2876,1,5000,48,6,25,0,6200,3024.21,129.17,1,1/1/2015 0:00,1/1/2015 0:00
117,2890,1,4000,48,6,20,0,4960,2790.07,103.33,1,1/1/2015 0:00,1/1/2015 0:00
119,3021,1,3400,48,6,17.5,0,4216,4216,62.5,1,1/1/2015 0:00,1/1/2015 0:00
120,3106,1,2500,36,6, -   ,0,2950,0,0,1,1/1/2015 0:00,1/1/2015 0:00
121,3188,1,3000,36,6,15,0,3540,3290.84,99.72,1,1/1/2015 0:00,1/1/2015 0:00
123,3197,1,4500,48,6,22.5,0,5580,3952.5,116.25,1,1/1/2015 0:00,1/1/2015 0:00
125,3224,1,2500,20,6,12.5,0,2750,1237.54,137.5,1,1/1/2015 0:00,1/1/2015 0:00
126,3251,1,3000, -   ,6, -   ,0,3360,0,0,1,1/1/2015 0:00,1/1/2015 0:00
128,3341,1,4000,48,6,20,0,4960,3823.37,103.33,1,1/1/2015 0:00,1/1/2015 0:00
130,3519,1,1000,12,6,5,0,1060,580.02,88.33,1,1/1/2015 0:00,1/1/2015 0:00
136,1789,1,10000,60,6,50,556.14,13000,11201.75,225.94,1,1/1/2015 0:00,1/1/2015 0:00
137,2020,1,10000,60,6,50,505.05,13000,12832.5,167.5,1,1/1/2015 0:00,1/1/2015 0:00
138,2047,1,7000, -   ,6,35,0,8680,4882.57,180.83,1,1/1/2015 0:00,1/1/2015 0:00
139,2098,1,9000,48,6,45,0,11160,4192.11,206.67,1,1/1/2015 0:00,1/1/2015 0:00
140,2134,1,10000,60,6,50,673.79,13000,11492.5,167.5,1,1/1/2015 0:00,1/1/2015 0:00
141,2193,1,10000,60,6,50,457.21,13000,11745,217.5,1,1/1/2015 0:00,1/1/2015 0:00
142,2345,1,10000,60,6,50,334.62,13000,12601.67,217.5,1,1/1/2015 0:00,1/1/2015 0:00
143,2348,1,10000,60,6,50,412.88,13000,12832.5,167.5,1,1/1/2015 0:00,1/1/2015 0:00
144,2413,1,7000,48,6,35,0,8680,904.31,180.83,1,1/1/2015 0:00,1/1/2015 0:00
145,2690,1,4000,36,6,20,0,4720,2360.02,131.11,1,1/1/2015 0:00,1/1/2015 0:00
146,2703,1,7000,48,6,35,0,8680,6148.38,180.83,1,1/1/2015 0:00,1/1/2015 0:00
147,2705,1,10000,60,6,50,192.27,13000,12832.5,167.5,1,1/1/2015 0:00,1/1/2015 0:00
